timestamp,customer_id,endpoint,status_code,success,deployment,users,latency,api_cpu_utilization,api_mem_utilization,service_cpu_utilization,service_mem_utilization
2025-04-03T03:41:20.771204,0,genai/chatclient,200,True,ec2,20,3.5036509037017822,8.32,83.58,1.76,79.22
2025-04-03T03:41:36.924155,0,customer/owners,201,True,ec2,20,0.11481928825378418,25.52,83.6,8.16,67.7
2025-04-03T03:41:48.662579,0,vet/vets,200,True,ec2,20,0.0747079849243164,3.2799999999999994,,24.32,65.03
2025-04-03T03:41:20.750827,1,genai/chatclient,200,True,ec2,20,3.017449378967285,8.32,83.58,1.76,79.22
2025-04-03T03:41:35.855249,1,customer/owners,201,True,ec2,20,0.13339567184448242,25.52,83.6,1.8399999999999999,67.7
2025-04-03T03:41:49.743476,1,vet/vets,200,True,ec2,20,0.09096813201904297,3.2799999999999994,83.62,8.96,65.03
2025-04-03T03:41:20.796581,2,genai/chatclient,200,True,ec2,20,2.7533767223358154,8.32,83.58,1.76,79.22
2025-04-03T03:41:34.799093,2,customer/owners,201,True,ec2,20,0.06253981590270996,9.84,83.6,6.24,67.7
2025-04-03T03:41:47.718726,2,vet/vets,200,True,ec2,20,0.06921029090881348,6.16,83.62,,65.03
2025-04-03T03:41:21.799570,3,genai/chatclient,200,True,ec2,20,3.105287790298462,10.4,83.59,11.28,79.22
2025-04-03T03:41:35.823617,3,customer/owners,201,True,ec2,20,0.0755164623260498,25.52,83.6,1.8399999999999999,67.7
2025-04-03T03:41:48.677200,3,vet/vets,200,True,ec2,20,0.07527399063110352,6.16,83.62,1.68,65.03
